,feat_above_sma200,feat_golden_cross,feat_adx_14,feat_days_below_sma200,feat_vix_percentile_60d,feat_trend_strength_20d
2006-06-20,0.0,0.0,31.33939783911873,0.0,0.75,-0.0019813832532815665
2006-06-21,0.0,0.0,29.774412385929818,0.0,0.6666666666666666,-0.001888250958084475
2006-06-22,0.0,0.0,28.51636536567583,0.0,0.6666666666666666,-0.0019286238780602842
2006-06-23,0.0,0.0,27.434335530582363,0.0,0.6666666666666666,-0.0017246914053670576
2006-06-26,0.0,0.0,26.429593540852714,0.0,0.6333333333333333,-0.0013761848540814426
2006-06-27,0.0,0.0,26.322149425391476,0.0,0.7,-0.0016339813456544665
2006-06-28,0.0,0.0,26.364621174322973,0.0,0.6166666666666667,-0.0016264544280472834
2006-06-29,0.0,0.0,24.60140794868335,0.0,0.45,-0.0007493709133626052
2006-06-30,0.0,0.0,23.22773140026796,0.0,0.45,-3.881715440715229e-07
2006-07-03,0.0,0.0,21.95217460531081,0.0,0.43333333333333335,0.0005174464381497275
2006-07-05,0.0,0.0,21.116748791593245,0.0,0.48333333333333334,0.0007189656960786149
2006-07-06,0.0,0.0,20.452765883897367,0.0,0.4666666666666667,0.0007984393361263722
2006-07-07,0.0,0.0,20.425783963441518,0.0,0.4666666666666667,0.0007165683481148172
2006-07-10,0.0,0.0,20.879988053129235,0.0,0.4666666666666667,0.0004280632762153938
2006-07-11,0.0,0.0,21.406002914630157,0.0,0.38333333333333336,-4.4546306122662846e-05
2006-07-12,0.0,0.0,22.17199625938994,0.0,0.5333333333333333,-0.0008724093722607192
2006-07-13,0.0,0.0,23.436369739622638,0.0,0.85,-0.0017938677927196167
2006-07-14,0.0,0.0,25.07246196476878,0.0,0.8833333333333333,-0.002371956875281591
2006-07-17,0.0,0.0,26.59169045954734,0.0,0.9333333333333333,-0.0029113173729585226
2006-07-18,0.0,0.0,28.28360836349169,0.0,0.8,-0.003437016265610745
2006-07-19,0.0,0.0,28.707000497180214,0.0,0.5166666666666667,-0.0036392871359878266
2006-07-20,0.0,0.0,29.15364131321773,0.0,0.6,-0.0038342107233053564
2006-07-21,0.0,0.0,30.002105654016646,0.0,0.7666666666666667,-0.004276236658067258
2006-07-24,0.0,0.0,29.771183458869846,0.0,0.43333333333333335,-0.004222172646388242
2006-07-25,0.0,0.0,28.949882513269394,0.0,0.4166666666666667,-0.004030625589762986
2006-07-26,0.0,0.0,27.93906109027699,0.0,0.4,-0.004121879432503781
2006-07-27,0.0,0.0,26.674661907170247,0.0,0.4166666666666667,-0.0041714335556940745
2006-07-28,0.0,0.0,25.307270568045045,0.0,0.3333333333333333,-0.0032668582769273613
2006-07-31,0.0,0.0,23.688630845062743,0.0,0.4166666666666667,-0.0024581007830735933
2006-08-01,0.0,0.0,23.20221885723779,0.0,0.43333333333333335,-0.0017508835924819062
2006-08-02,0.0,0.0,22.11451333057294,0.0,0.3,-0.001093069779323618
2006-08-03,0.0,0.0,20.721808408065836,0.0,0.3,-0.0003293534559825303
2006-08-04,0.0,0.0,19.558500271319577,0.0,0.2833333333333333,0.00022464715133872518
2006-08-07,0.0,0.0,18.3107953489571,0.0,0.43333333333333335,0.0005802428121207234
2006-08-08,0.0,0.0,17.346746892486642,0.0,0.43333333333333335,0.0009981766930285785
2006-08-09,0.0,0.0,16.509415942373828,0.0,0.4,0.0011709384770054033
2006-08-10,0.0,0.0,15.502280656416698,0.0,0.25,0.001186780139890718
2006-08-11,0.0,0.0,14.56708360517079,0.0,0.16666666666666666,0.0009381504569056743
2006-08-14,0.0,0.0,14.714594012449524,0.0,0.16666666666666666,0.0007843910653225092
2006-08-15,0.0,0.0,15.536118481401177,0.0,0.08333333333333333,0.0009941962396163577
2006-08-16,0.0,0.0,17.25573671074563,0.0,0.016666666666666666,0.00165651206656443
2006-08-17,0.0,0.0,19.187196222819356,0.0,0.016666666666666666,0.002088296338336496
2006-08-18,0.0,0.0,20.621274237944103,0.0,0.016666666666666666,0.002286847540781665
2006-08-21,0.0,0.0,21.906438936141722,0.0,0.03333333333333333,0.0025458632587625958
