,feat_volume_ratio,feat_volume_trend_5d,feat_obv_roc_10d,feat_vol_price_divergence
2016-03-07,0.6210382432301328,-2123160.0,0.010593287648312053,0
2016-03-08,0.750548981057394,-23600.00000000056,0.011068675727438448,1
2016-03-09,0.8537339206854642,838869.9999999984,0.00737951049095523,0
2016-03-10,1.2423316329339023,3034759.999999996,-0.019194974151317084,1
2016-03-11,0.9434862136549037,2652319.999999998,0.0032907097362260738,1
2016-03-14,0.7893278104535721,-664060.0000000024,0.02278164348955155,1
2016-03-15,0.8435124802773314,-2790680.000000002,-0.0008171037231865066,1
2016-03-16,1.024282890315333,-3001540.0000000033,8.245065446731854e-05,0
2016-03-17,0.9721181012067756,265759.9999999963,-0.0014191893460677632,0
2016-03-18,1.2177352573108533,2771389.9999999977,-0.0262259467503411,1
2016-03-21,0.5648014295958353,-1248280.0000000014,-0.010879074865258203,1
2016-03-22,0.626786095683828,-3804070.0000000014,0.00643831480151834,0
2016-03-23,0.7194655707261122,-3626360.000000001,-0.012394866662759952,1
2016-03-24,0.6661361107189933,-3370570.000000003,0.01061319006631799,1
2016-03-28,0.5015807648724855,-661560.000000001,-0.005956744176598443,0
2016-03-29,1.0771587058306928,1522659.9999999984,-0.004252991419076007,0
2016-03-30,0.8777525858679224,1673519.999999999,0.013970962945587266,1
2016-03-31,0.8022210772299374,1477469.999999999,-0.005252692574032825,0
2016-04-01,0.9853813381716805,1647669.9999999988,0.015002061298510365,0
2016-04-04,0.6586998133818189,-2302000.0000000005,0.02275362756812809,0
2016-04-05,0.7803374778457642,-1168280.0000000014,0.008948268643870277,1
2016-04-06,0.9796651833148037,93649.99999999805,0.01114229241597674,0
2016-04-07,1.1223917892745483,1224939.999999998,0.00842910297348546,1
2016-04-08,0.939013342945733,1992929.9999999998,-0.006847346276177498,0
2016-04-11,1.0693340442283177,917039.9999999994,-0.011217140765258505,1
2016-04-12,1.1773895340725173,422109.9999999982,-0.01160109607799418,0
2016-04-13,1.047704872379054,-75490.00000000201,-0.01094770069332169,1
2016-04-14,0.73260449273282,-1181200.000000001,0.0029059292635079835,1
2016-04-15,0.9258301375089696,-2020200.0000000007,-0.01417777497211335,1
2016-04-18,0.7771823921975446,-2687940.000000001,-0.0019396202565817198,1
2016-04-19,1.8235663283221253,3417579.999999998,-0.010054715926594135,1
2016-04-20,0.7773045290845862,2288529.9999999986,-0.012468080843252774,1
2016-04-21,0.8705224835813543,-132240.0000000014,0.005088646077398205,0
2016-04-22,1.612917207243391,2163039.9999999986,-0.0007822932587444001,1
2016-04-25,0.5918638769580987,-3526330.0000000037,0.008721504730265428,1
2016-04-26,0.8064625668122112,-378410.000000001,-0.008783179325247081,1
2016-04-27,1.367859654929869,573189.9999999992,-0.02984066358564955,1
2016-04-28,1.2127357138063777,19629.99999999876,-0.046564337127633394,0
2016-04-29,2.5335807506894805,11700169.999999998,-0.06364905045248188,1
2016-05-02,0.9181529635777395,4583399.999999997,-0.06048764858598852,1
2016-05-03,1.3799992879851428,601479.9999999977,-0.059996656985090664,1
2016-05-04,0.9787928512442919,-3362080.000000002,-0.07615434011958633,0
2016-05-05,0.7509927901354096,-9076870.000000004,-0.09038938146880486,0
2016-05-06,1.0956281379290693,-589190.000000002,-0.06613257562079368,0
2016-05-09,0.6951276093727055,-3527560.0000000037,-0.059075265378111926,1
2016-05-10,0.7735040292412857,-1408970.0000000014,-0.04464436708065586,0
2016-05-11,0.7719282226741374,-922320.0000000015,-0.04068421587368653,0
2016-05-12,1.051710552028897,-144770.0000000025,-0.04090721360186747,1
2016-05-13,0.7590010478959637,1155679.999999999,-0.024000919273241585,0
2016-05-16,0.6585743434765198,-564100.0000000013,-0.026265106796994855,1
2016-05-17,1.1013605524776906,704839.9999999988,-0.023298726401295926,1
2016-05-18,0.9954490441039652,552959.9999999987,-0.0019190968940985666,1
2016-05-19,0.9760208154168912,2176309.9999999986,-0.00453091925407711,0
2016-05-20,1.0733621153256936,1987729.9999999977,-0.004949930862455365,0
2016-05-23,0.5699442440334449,-2638060.0000000023,-0.018529439634753748,0
2016-05-24,1.0636759941278253,-679100.0000000026,-0.015002686089296946,0
2016-05-25,1.3370767456481334,2161589.9999999986,0.007782279682057238,0
2016-05-26,0.7819892258928728,689449.9999999977,0.02796038298170886,1
2016-05-27,0.7759951542285487,23499.99999999949,0.04442428485961293,1
2016-05-31,0.952416689777315,-2921210.0000000033,0.04648749113708668,0
2016-06-01,0.7945058669984635,-3428020.000000002,0.06676347908486449,1
2016-06-02,0.6528103647151519,-1267710.0000000016,0.06137845229485449,1
2016-06-03,0.8439200299599334,-786970.0000000005,0.06486103593857412,1
2016-06-06,0.541090299723794,-2302900.0000000014,0.057394630002444595,1
2016-06-07,0.5355577361990359,-1796860.0,0.059156924498997863,0
2016-06-08,0.649803424729479,-1034140.0000000002,0.05244875742691949,0
2016-06-09,0.7897195694645003,-333030.00000000134,0.030260116852412977,1
2016-06-10,1.4691028267249702,4631249.999999998,0.009022639059853597,1
2016-06-13,1.110894960106891,4433709.999999998,-0.008140421569668222,0
2016-06-14,1.0710459538977843,2762269.9999999986,-0.017232327809802633,1
2016-06-15,1.0843759771170345,569169.9999999977,-0.03360436614203869,1
2016-06-16,1.3997143840735742,-231920.0000000034,-0.027325836322397955,0
2016-06-17,1.269252496458462,1559959.9999999984,-0.030876987456526624,0
2016-06-20,0.9113399393527354,-344830.00000000163,-0.02773197590239872,1
2016-06-21,0.9950746117234059,-1512029.9999999998,-0.0147711377527364,0
2016-06-22,1.0074293045677942,-2511610.0000000005,-0.028564690803828906,0
2016-06-23,0.8666089828798627,-1882780.0000000012,-0.015164871648455857,1
2016-06-24,2.845590482607798,9080989.999999998,-0.028642590947451824,1
2016-06-27,1.9046227267063118,9612549.999999998,-0.03774870379388771,0
2016-06-28,1.1076750136398699,4058119.999999998,-0.026930647164056517,1
2016-06-29,1.2012818597309858,-1446710.0000000012,-0.005560817743947259,0
2016-06-30,1.3378881955529283,-8028970.0,-0.003881589514551485,0
2016-07-01,0.7340264297164383,-4859940.0,0.01503211586415607,1
2016-07-05,0.7684053517100984,-2563930.0000000014,-0.0010677919600266975,1
2016-07-06,0.8726095745534406,-2868770.000000001,-0.00038458809343357023,0
2016-07-07,0.6747735606606701,-2960170.000000003,0.015652542350488137,1
2016-07-08,1.0160858967674886,1710399.9999999984,0.019626256032895195,0
2016-07-11,0.7130684603561657,297979.999999998,0.05458616478715823,1
2016-07-12,0.7770382795842335,-428960.00000000116,0.08353145764863024,0
2016-07-13,0.7533722812552255,-365960.0000000005,0.06318173131400122,0
2016-07-14,0.7499186159903589,-1628449.9999999995,0.05833714061415996,1
2016-07-15,0.6635199850775925,-547350.0000000013,0.036718312353139375,0
2016-07-18,0.7757362723621178,-549290.0000000019,0.03674885080693081,0
2016-07-19,0.7113460306059816,-449930.0000000012,0.03790247073813142,0
2016-07-20,0.9351781084097157,919119.9999999991,0.037707627865205956,0
2016-07-21,0.7116176420162412,605619.999999999,0.023089354858024606,0
2016-07-22,0.7519184758195928,-147230.00000000186,0.019310011006515342,0
2016-07-25,0.5437148755687412,-1693170.0000000012,0.01648197579994463,1
2016-07-26,0.9432389167049613,-1346550.0000000002,0.016098912732562153,0
2016-07-27,1.2303420677691463,1874179.9999999986,0.03426420745898882,0
2016-07-28,0.778858088301726,855059.9999999987,0.032558145341405505,1
2016-07-29,1.0632513253058973,1455029.999999999,0.04770170343029449,0
2016-08-01,0.6739620083731593,-1972820.000000001,0.04487289413060888,1
2016-08-02,1.0247973368677372,-1568500.0,0.04432179970059756,1
2016-08-03,0.7400153412945055,-496370.00000000175,0.04026121846293308,1
2016-08-04,0.6427677176395177,-1807880.000000002,0.052231951855324504,1
2016-08-05,1.1801441156995656,996989.9999999992,0.05301793376254873,0
2016-08-08,0.6415604857465612,-965510.000000001,0.043545759320976346,0
2016-08-09,0.7050252665251996,-394670.0000000008,0.04034023385883702,0
2016-08-10,0.793527052819867,-621390.000000001,0.024795891232765044,1
2016-08-11,0.7159618905880749,-1812340.0000000016,0.02323483275873203,1
2016-08-12,1.0657056856242468,1373489.9999999993,0.021990743394840945,0
2016-08-15,0.6640097556630372,169319.9999999994,0.021106092613020294,1
2016-08-16,0.8092864439348806,-224600.0000000008,0.023782228227587104,1
2016-08-17,0.9373849737897886,80339.99999999886,0.023997548993651568,0
2016-08-18,0.6044037773504708,-1448290.000000001,0.022909314025263736,1
2016-08-19,1.133036759767553,980529.999999999,0.008153686924854419,1
2016-08-22,0.8725369526674307,344109.99999999895,0.017560587910094815,1
2016-08-23,0.7425545873149477,-350050.00000000175,0.017035533307333157,1
2016-08-24,1.1319758417492831,863969.9999999997,0.01606152284556706,1
2016-08-25,1.5139885925058927,1427469.999999998,0.0030486610791401834,1
2016-08-26,1.4838922613242571,3105919.999999999,0.004587534891517633,1
2016-08-29,0.700661860444575,454129.99999999907,0.0043651185885408336,1
2016-08-30,1.2486675333730188,-885220.0000000007,0.0024234682464232622,1
2016-08-31,1.0138120273952076,-2024570.000000001,-0.008636204399264394,0
2016-09-01,1.2806317343805171,-91770.00000000172,-0.00487141828602433,0
2016-09-02,1.123521737091491,1490799.9999999993,0.007789819543072748,1
2016-09-06,1.1290411542485161,-71780.00000000076,0.009131140226995356,0
2016-09-07,1.0556796423892656,33469.999999999556,0.010988709268390835,1
2016-09-08,1.191320567302837,-218010.00000000134,0.010232220472446355,1
2016-09-09,2.7049292683777253,6705029.999999999,0.001120548451334271,1
2016-09-12,2.0024450983001745,7550799.999999997,0.0065234187027165364,1
2016-09-13,2.1328971171598514,7615469.999999998,-0.013029815262217647,1
2016-09-14,1.270901895513489,1124359.999999998,0.003446662191744223,1
2016-09-15,1.6509283455852022,-3600800.0000000023,0.022420878283373184,0
2016-09-16,1.139824424124635,-3144150.000000001,0.0055571083245073245,0
2016-09-19,0.673563577270338,-5990730.0,-0.006210098401161086,0
2016-09-20,0.745076673008002,-4258490.000000001,-0.006322761994149223,0
2016-09-21,1.2497977043780042,-2346710.0000000037,-0.0015562899814149122,0
2016-09-22,0.8873329903974015,535969.9999999992,0.012968824710378593,1
2016-09-23,0.8751233346984113,1651679.9999999986,0.023094761673942553,0
2016-09-26,0.6559314090855292,-1268280.0000000012,0.003646934017000317,0
2016-09-27,0.7948711050347715,-2882730.000000003,0.026631010534351223,0
2016-09-28,0.5868708071412406,-1761520.0,0.02176099199338019,1
2016-09-29,1.0561643000744934,837859.9999999984,-0.0008039593702384932,1
2016-09-30,0.9827862732653869,2524769.999999998,0.01737185536329002,1
2016-10-03,0.7377585254043603,870489.9999999985,0.01643879047361176,0
2016-10-04,0.8112102901416315,489969.9999999992,0.0028917164985246472,1
2016-10-05,0.5563429115866836,-2975590.0000000014,-0.00291264990244536,1
2016-10-06,0.4678341803739988,-3184730.000000001,-0.014507838334841223,0
2016-10-07,0.8298712454193821,-771700.0000000008,-0.013862783488858468,1
2016-10-10,0.8528861962080565,239809.99999999793,-0.0016634987940450118,1
2016-10-11,1.2523020423898181,3428639.999999998,-0.017872302991061483,1
2016-10-12,0.6642063500376496,1235159.9999999988,-0.02755265330928963,0
2016-10-13,1.1026792433593908,25409.99999999856,-0.026318837393682362,1
2016-10-14,1.0457027950678535,-170140.00000000134,-0.027515405811429465,1
2016-10-17,0.6993515956899937,-2013790.0000000019,-0.025990360529885816,0
2016-10-18,0.9477381415350972,137949.99999999933,-0.012363386718107069,0
2016-10-19,0.7046100281810074,-2027280.000000002,-0.021865612132159463,0
2016-10-20,0.943236583983518,-684200.0000000012,-0.024048472041908204,1
2016-10-21,0.8311838673771789,190569.99999999983,-0.01197012222038857,1
2016-10-24,1.005670588902793,173749.99999999857,-0.01207528310484578,0
2016-10-25,1.0683589431430187,1428859.9999999988,-0.009633997130535853,1
2016-10-26,1.0589949129825034,929699.9999999984,-0.011823276556993837,1
2016-10-27,1.0095930847963996,810469.9999999994,-0.010620735868083132,0
2016-10-28,1.8222561801828165,3121059.999999997,-0.030146391654525727,1
2016-10-31,0.9671483993568645,1172079.9999999984,-0.031882193439966455,0
2016-11-01,1.2051097428512525,571959.9999999984,-0.04643806632288174,1
2016-11-02,1.3397547900031606,384999.99999999866,-0.05125756102116202,1
2016-11-03,1.697060546126582,988249.999999997,-0.057890984381178776,1
2016-11-04,1.245000514186711,2920269.9999999986,-0.072401685875994,0
2016-11-07,1.2070490480562235,622239.999999998,-0.06935488677140299,1
2016-11-08,0.9583858008035018,-2197840.0000000005,-0.05556303074158484,1
2016-11-09,2.869236303145259,6183879.999999996,-0.024233638065972625,0
2016-11-10,2.699371540088181,13529899.999999996,-0.04331682309700911,1
2016-11-11,1.4700409331916753,8109549.999999997,-0.016588412061153777,1
2016-11-14,1.235798011420445,113699.99999999977,-0.022859383461309196,0
