signal_date,next_date,version,prob_up,prediction,actual,correct,action,qqq_return,tqqq_return,sqqq_return,daily_pnl
2026-02-02,2026-02-03,v1,0.6551,UP,DOWN,0,TQQQ,-0.015364,-0.046824,0.046988,-1404.72
2026-02-02,2026-02-03,v2,0.6712,UP,DOWN,0,TQQQ,-0.015364,-0.046824,0.046988,-1404.72
2026-02-03,2026-02-04,v1,0.5039,UP,DOWN,0,CASH,-0.017469,-0.052551,0.051942,0.0
2026-02-03,2026-02-04,v2,0.7266,UP,DOWN,0,TQQQ,-0.017469,-0.052551,0.051942,-1576.54
2026-02-04,2026-02-05,v1,0.8618,UP,DOWN,0,TQQQ,-0.014395,-0.042604,0.043223,-1278.13
2026-02-04,2026-02-05,v2,0.9062,UP,DOWN,0,TQQQ,-0.014395,-0.042604,0.043223,-1278.13
2026-02-05,2026-02-06,v1,0.7091,UP,UP,1,TQQQ,0.021138,0.061923,-0.061545,1857.68
2026-02-05,2026-02-06,v2,0.7867,UP,UP,1,TQQQ,0.021138,0.061923,-0.061545,1857.68
2026-02-06,2026-02-09,v1,0.5659,UP,UP,1,CASH,0.00766,0.022732,-0.022575,0.0
2026-02-06,2026-02-09,v2,0.7527,UP,UP,1,TQQQ,0.00766,0.022732,-0.022575,681.95
2026-02-09,2026-02-10,v1,0.7172,UP,DOWN,0,TQQQ,-0.004639,-0.013916,0.014179,-417.47
2026-02-09,2026-02-10,v2,0.8685,UP,DOWN,0,TQQQ,-0.004639,-0.013916,0.014179,-417.47
2026-02-10,2026-02-11,v1,0.8315,UP,UP,1,TQQQ,0.002682,0.007448,-0.007207,223.44
2026-02-10,2026-02-11,v2,0.954,UP,UP,1,TQQQ,0.002682,0.007448,-0.007207,223.44
2026-02-11,2026-02-12,v1,0.512,UP,DOWN,0,CASH,-0.020339,-0.06109,0.061266,0.0
2026-02-11,2026-02-12,v2,0.7559,UP,DOWN,0,TQQQ,-0.020339,-0.06109,0.061266,-1832.69
2026-02-12,2026-02-13,v1,0.7091,UP,UP,1,TQQQ,0.002131,0.004351,-0.005061,130.54
2026-02-12,2026-02-13,v2,0.8327,UP,UP,1,TQQQ,0.002131,0.004351,-0.005061,130.54
2026-02-13,2026-02-17,v1,0.5278,UP,DOWN,0,CASH,-0.00103,0.0,0.0,0.0
2026-02-13,2026-02-17,v2,0.4064,DOWN,DOWN,1,SQQQ,-0.00103,0.0,0.0,0.0
2026-02-17,2026-02-18,v1,0.5501,UP,UP,1,CASH,0.007467,0.0,0.0,0.0
2026-02-17,2026-02-18,v2,0.103,DOWN,UP,0,SQQQ,0.007467,0.0,0.0,0.0
2026-02-18,2026-02-19,v1,0.5039,UP,DOWN,0,CASH,-0.00383,0.0,0.0,0.0
2026-02-18,2026-02-19,v2,0.3175,DOWN,DOWN,1,SQQQ,-0.00383,0.0,0.0,0.0
2026-02-19,2026-02-20,v1,0.6185,UP,UP,1,TQQQ,0.008849,0.0,0.0,0.0
2026-02-19,2026-02-20,v2,0.4336,DOWN,UP,0,CASH,0.008849,0.0,0.0,0.0
2026-02-20,2026-02-23,v1,0.5882,UP,DOWN,0,TQQQ,-0.012155,0.0,0.0,0.0
2026-02-20,2026-02-23,v2,0.5548,UP,DOWN,0,CASH,-0.012155,0.0,0.0,0.0
2026-02-23,2026-02-24,v1,0.6947,UP,UP,1,TQQQ,0.010741,0.0,0.0,0.0
2026-02-23,2026-02-24,v2,0.7555,UP,UP,1,TQQQ,0.010741,0.0,0.0,0.0
2026-02-24,2026-02-25,v1,0.8156,UP,UP,1,TQQQ,0.014493,0.0,0.0,0.0
2026-02-24,2026-02-25,v2,0.6909,UP,UP,1,TQQQ,0.014493,0.0,0.0,0.0
2026-02-25,2026-02-26,v1,0.5948,UP,DOWN,0,TQQQ,-0.012065,0.0,0.0,0.0
2026-02-25,2026-02-26,v2,0.7913,UP,DOWN,0,TQQQ,-0.012065,0.0,0.0,0.0
2026-02-26,2026-02-27,v1,0.7711,UP,DOWN,0,TQQQ,-0.003201,0.0,0.0,0.0
2026-02-26,2026-02-27,v2,0.7508,UP,DOWN,0,TQQQ,-0.003201,0.0,0.0,0.0
